date,notes
2020-02-22,Karnevalstage
2020-03-15,Grenzen dicht
2020-03-22,Kontaktverbot
2020-04-12,Ostern
2020-04-20,Erste Lockerungen
2020-05-04,Schulbetrieb wieder öffnen
