"abkuerzung","bezeichnung","bis","fk_zaehler","id1","richtung_in","richtung_out","von","objectid","geometry"
"VZS_BINZ","Binzmühlestrasse","20180929000000","ECO09113500","2960","Oerlikon","Glaubtenstrasse","20180411000000","14","POINT (2681857 1251990.9)"
"VZS_ANDR","Andreasstrasse","20190922000000","ECO07091438","3928","Oerlikon","Wallisellen","20190313000000","15","POINT (2684578 1251966.9)"
"VZS_SCHU","Schulstrasse","20190618000000","ECO06040592","3929","Irchel","Bahnhof Oerlikon","20190315000000","16","POINT (2683405 1251616.9)"
"VZS_HOFW","Hofwiesenstrasse","20190618000000","ECO07101504","3930","Bucheggplatz","---","20190314000000","17","POINT (2682683.2 1250569)"
"VZS_BINZ","Binzmühlestrasse","20190510000000","ECO08011668","3932","Oerlikon","Glaubtenstrasse","20190315000000","18","POINT (2681857 1251990.9)"
"VZS_ANDR","Andreasstrasse","20190313000000","ECO09113502","9","Oerlikon","Wallisellen","20101216000000","19","POINT (2684578 1251966.9)"
"VZS_SIHL","Sihlpromenade","20181221000000","ECO09113503","10","Innenstadt","Saalsporthalle","20100714000000","20","POINT (2682375 1247054.9)"
"VZS_BERT","Bertastrasse","20181221000000","ECO09113506","12","Wiedikon","Aussersihl","20100726000000","21","POINT (2681385 1247735.9)"
"FZS_LETL","Lettenviadukt (Limmatstr.)","20151001000000","U15G3063869","28","Limmat","Gleisanlagen","20150331000000","22","POINT (2682171 1249123.9)"
"FZS_MYTH","Mythenquai Unterführung","20150430000000","U15G3104443","37","Seeufer","Bhf. Wollishofen","20131128000000","23","POINT (2682813 1245489.9)"
"FZS_ARBO","Arboretum","20150908000000","U15G3104446","46","Stadtgrenze","Innenstadt","20150310000000","24","POINT (2682973 1246328.9)"
"VZS_FISC","Fischerweg","20200203000000","Y0410090357","52","Innenstadt","Stadtgrenze","20100709000000","25","POINT (2678956 1250442.9)"
"VZS_LIMC","Limmatquai --> Central","","Y2G14045586","62","Central","---","20140625000000","26","POINT (2683457 1247064.9)"
"FZS_HARD","Hardeggsteg","20160331000000","U15G4025180","1","Kloster-Fahr-Weg","Hardturmstrasse","20151001000000","27","POINT (2680439 1249929.9)"
"FZS_ALTO","Altstetterstrasse Ost","","U15G3063866","2","Bhf. Altstetten","Lindenplatz","20151001000000","28","POINT (2679182 1249432.5)"
"VZS_HOFW","Hofwiesenstrasse","","ECO09113507","2977","Bucheggplatz","---","20190619000000","29","POINT (2682681.5 1250569.8)"
"VZS_SCHE","Scheuchzerstrasse","20181220000000","ECO09113501","8","Innenstadt","Irchel","20100923000000","30","POINT (2683573 1248544.9)"
"FZS_MYTH","Mythenquai Unterführung","20160404000000","U15G3104443","64","Seeufer","Bhf. Wollishofen","20151007000000","31","POINT (2682813 1245489.9)"
"FZS_ALTW","Altstetterstrasse West","","U15G3104445","65","Bhf. Altstetten","Lindenplatz","20151016000000","32","POINT (2679174 1249437.9)"
"FZS_INGA","In Gassen","20170830000000","YPH15108550","384","Paradeplatz","Rathaus","20151021000000","33","POINT (2683267 1247228.9)"
"VZS_SAUM","Saumackerstrasse","20191115000000","Y2G13124875","56","Uetliberg","Bahnhof Altstetten","20140311000000","34","POINT (2679337 1249345.9)"
