LandSerfID,name,lon,lat
1,Aldgate,-0.07588753814157062,51.51182440250352
2,Angel,-0.10577272638098886,51.53408657688955
3,Avondale,-0.21703119400023926,51.51260740859947
4,Bank,-0.08965117737637283,51.51281854956653
5,Bankside,-0.09460105205849671,51.506543093504874
6,Barbican,-0.09572044054088354,51.52003881465649
7,Battersea,-0.1652262444038879,51.47268444951236
8,Battersea Park,-0.14921179034084756,51.47985776814308
9,Bayswater,-0.18493172518313264,51.51465486328872
10,Bermondsey,-0.07762166405135319,51.50106431565341
11,Bethnal Green,-0.05632536151889827,51.52801558326446
12,Blackwall,-0.008290928079735426,51.50766684353364
13,Bloomsbury,-0.12577758922427318,51.522606442902685
14,Borough,-0.09287503615268893,51.49961503342985
15,Bow,-0.02228791412619427,51.52736588558519
16,Brixton,-0.1154603568082949,51.46488159466902
17,Camden Town,-0.13916388857583026,51.53797793588126
18,Canary Wharf,-0.019112895620483038,51.503322239596436
19,Chelsea,-0.1648476958929158,51.48805840899922
20,Clapham,-0.17129040505408336,51.46431488438166
21,Clerkenwell,-0.1130712188626387,51.526223189341216
22,Covent Garden,-0.12257165260123618,51.51516095896142
23,Cubitt Town,-0.009101806549385425,51.490211108916654
24,Earl's Court,-0.19254097056405026,51.49115850091866
25,Elephant & Castle,-0.10635548513650683,51.496372758067814
26,Euston,-0.13516146832569648,51.52774304988887
27,Finsbury,-0.10175238355159542,51.526941857047966
28,Fitzrovia,-0.1403762303047677,51.52012150885123
29,Fulham,-0.21421610095082358,51.47702505524732
30,Haggerston,-0.06875297557202485,51.53624157767327
31,Hammersmith,-0.22163185458494955,51.490325116479084
32,Holborn,-0.11172587454960395,51.518395339643504
33,Hoxton,-0.08498246436076069,51.53181343256338
34,Hyde Park,-0.17043593595003526,51.50594520901783
35,Kennington,-0.11319343647244544,51.485238729557885
36,Kensington,-0.1912879571235967,51.50081937904351
37,King's Cross,-0.12381606299211469,51.53406799099072
38,Knightsbridge,-0.16188564157256385,51.498408234842266
39,Ladbroke Grove,-0.2062694607991344,51.50694837924611
40,Limehouse,-0.03214187425975721,51.51189411534183
41,Liverpool Street,-0.08128624853108356,51.518757847009454
42,Marylebone,-0.1576488068131039,51.520272496828426
43,Mayfair,-0.15151302722907883,51.50937283360246
44,Mile End,-0.033309957332429835,51.52280963252335
45,Millwall,-0.0190656983208482,51.49432774301305
46,Notting Hill,-0.19543550235903864,51.510040271793684
47,Old Ford,-0.027705263149952607,51.53441806562794
48,Olympia,-0.21202343411023938,51.49666911768387
49,Olympic Park,-0.017285598974733935,51.54344734408471
50,Paddington,-0.17634098670170717,51.519812573816026
51,Parson's Green,-0.20327155696834354,51.46951537179705
52,Pimlico,-0.13947287459260257,51.48782155909444
53,Poplar,-0.016313036048331092,51.514617326450974
54,Portobello,-0.20419874423186776,51.51875170191901
55,Putney,-0.209387524407156,51.461965501539126
56,Regent's Park,-0.1530811055438918,51.5301051399647
57,Sands End,-0.1869662507563602,51.47039472928144
58,Shadwell,-0.05435361753288511,51.50993611364404
59,Shepherd's Bush,-0.21758997152852091,51.50312397281865
60,Shoreditch,-0.07425850228087251,51.52421968744844
61,Soho,-0.13760935041551312,51.51393607863846
62,South Bank,-0.11356403478257109,51.506300357512906
63,South Kensington,-0.1775618794800325,51.49438524242878
64,Southwark,-0.10461061540866534,51.50398692452764
65,St John's Wood,-0.17444582309115944,51.528151969686355
66,St Luke's,-0.09109850412815144,51.52602867957208
67,St Paul's,-0.10314776545180467,51.51267717905234
68,Stepney,-0.047644152143359965,51.51751899055286
69,Stockwell,-0.12241380271155453,51.47622032676177
70,Strand,-0.11868814778780772,51.5102010269286
71,Vauxhall,-0.11725352327344984,51.49161092577311
72,Victoria,-0.1443223912922135,51.49370797229316
73,Victoria Park,-0.04408659626121862,51.53670106580754
74,Walham Green,-0.1935193432992314,51.47831293693623
75,Walworth,-0.09471148966375294,51.492038469550174
76,Wandsworth,-0.190711178230063,51.460215165481415
77,Wandsworth Road,-0.1380794037569878,51.47197014180703
78,Wapping,-0.06648051103399698,51.50588675085717
79,Waterloo,-0.11482163744037743,51.50057746505164
80,West Chelsea,-0.18037369209024032,51.48252967797038
81,West End,-0.13175802118973484,51.50591292605085
82,West Kensington,-0.20850893176239277,51.485936473133016
83,Westminster,-0.1334126269643119,51.498177179436425
84,Whitechapel,-0.06536607177019459,51.51797614866559
