date,count
2019-01-11 05,2.58
2019-01-11 06,8.21
2019-01-11 07,27.52
2019-01-11 08,56.11
2019-01-11 09,50.13
2019-01-11 10,25.15
2019-01-11 11,19.99
2019-01-11 12,22.76
2019-01-11 13,25.60
2019-01-11 14,21.29
2019-01-11 15,24.09
2019-01-11 16,30.27
2019-01-11 17,42.93
2019-01-11 18,41.99
2019-01-11 19,26.58
2019-01-11 20,19.13
2019-01-11 21,13.36
2019-01-11 22,11.32
2019-01-11 23,9.69
2019-01-12 00,8.19
2019-01-12 01,6.48
2019-01-12 02,3.94
2019-01-12 03,2.66
2019-01-12 04,2.76
2019-01-12 05,1.94
2019-01-12 06,2.00
2019-01-12 07,4.09
2019-01-12 08,11.21
2019-01-12 09,17.05
2019-01-12 10,21.29
2019-01-12 11,25.45
2019-01-12 12,27.56
2019-01-12 13,26.01
2019-01-12 14,27.85
2019-01-12 15,29.04
2019-01-12 16,25.34
2019-01-12 17,22.99
2019-01-12 18,19.06
2019-01-12 19,15.73
2019-01-12 20,11.52
2019-01-12 21,9.45
2019-01-12 22,9.16
2019-01-12 23,9.20
2019-01-13 00,7.42
2019-01-13 01,6.59
2019-01-13 02,4.74
2019-01-13 03,2.87
2019-01-13 04,2.31
2019-01-13 05,2.59
2019-01-13 06,1.72
2019-01-13 07,2.87
2019-01-13 08,7.93
2019-01-13 09,12.88
2019-01-13 10,18.64
2019-01-13 11,25.31
2019-01-13 12,30.49
2019-01-13 13,30.72
2019-01-13 14,28.71
2019-01-13 15,29.55
2019-01-13 16,28.46
2019-01-13 17,23.09
2019-01-13 18,18.60
2019-01-13 19,14.64
2019-01-13 20,12.49
2019-01-13 21,9.67
2019-01-13 22,8.58
2019-01-13 23,5.61
2019-01-14 00,3.69
2019-01-14 01,1.74
2019-01-14 02,1.21
2019-01-14 03,1.60
2019-01-14 04,1.82
2019-01-14 05,2.81
2019-01-14 06,10.04
2019-01-14 07,30.28
2019-01-14 08,61.55
2019-01-14 09,50.15
2019-01-14 10,25.38
2019-01-14 11,18.24
2019-01-14 12,20.58
2019-01-14 13,21.69
2019-01-14 14,18.68
2019-01-14 15,20.79
2019-01-14 16,29.05
2019-01-14 17,46.55
2019-01-14 18,53.59
2019-01-14 19,35.28
2019-01-14 20,25.28
2019-01-14 21,19.22
2019-01-14 22,12.47
2019-01-14 23,6.46
2019-01-15 00,4.22
2019-01-15 01,2.28
2019-01-15 02,1.12
2019-01-15 03,1.47
2019-01-15 04,1.82
2019-01-15 05,2.27
2019-01-15 06,9.94
2019-01-15 07,32.66
2019-01-15 08,65.61
2019-01-15 09,51.91
2019-01-15 10,25.96
2019-01-15 11,19.55
2019-01-15 12,24.11
2019-01-15 13,24.20
2019-01-15 14,19.87
2019-01-15 15,20.72
2019-01-15 16,29.44
2019-01-15 17,47.80
2019-01-15 18,52.98
2019-01-15 19,35.75
2019-01-15 20,24.88
2019-01-15 21,21.12
2019-01-15 22,13.98
2019-01-15 23,8.24
2019-01-16 00,4.52
2019-01-16 01,2.89
2019-01-16 02,1.58
2019-01-16 03,0.93
2019-01-16 04,2.36
2019-01-16 05,2.54
2019-01-16 06,9.80
2019-01-16 07,30.22
2019-01-16 08,58.55
2019-01-16 09,49.13
2019-01-16 10,22.96
2019-01-16 11,20.09
2019-01-16 12,22.64
2019-01-16 13,20.82
2019-01-16 14,16.11
2019-01-16 15,16.27
2019-01-16 16,17.82
2019-01-16 17,35.68
2019-01-16 18,42.87
2019-01-16 19,32.08
2019-01-16 20,22.09
2019-01-16 21,18.48
2019-01-16 22,13.11
2019-01-16 23,8.06
2019-01-17 00,4.89
2019-01-17 01,2.84
2019-01-17 02,1.45
2019-01-17 03,1.94
2019-01-17 04,2.34
2019-01-17 05,2.62
2019-01-17 06,9.54
2019-01-17 07,28.88
2019-01-17 08,48.71
2019-01-17 09,47.22
2019-01-17 10,24.89
2019-01-17 11,18.12
2019-01-17 12,23.59
2019-01-17 13,23.29
2019-01-17 14,20.26
2019-01-17 15,22.16
2019-01-17 16,29.92
2019-01-17 17,43.42
2019-01-17 18,46.04
2019-01-17 19,33.88
2019-01-17 20,22.02
2019-01-17 21,18.56
2019-01-17 22,13.32
2019-01-17 23,8.88
2019-01-18 00,5.34
2019-01-18 01,2.82
2019-01-18 02,1.27
2019-01-18 03,1.53
2019-01-18 04,2.11
2019-01-18 05,2.94
2019-01-18 06,8.13
2019-01-18 07,26.80
2019-01-18 08,53.16
2019-01-18 09,47.26
2019-01-18 10,23.40
2019-01-18 11,20.38
2019-01-18 12,23.19
2019-01-18 13,27.22
2019-01-18 14,22.87
2019-01-18 15,24.04
2019-01-18 16,31.11
2019-01-18 17,41.59
2019-01-18 18,41.67
2019-01-18 19,28.33
2019-01-18 20,18.67
2019-01-18 21,14.84
2019-01-18 22,11.06
2019-01-18 23,9.94
2019-01-19 00,6.62
2019-01-19 01,5.66
2019-01-19 02,3.51
2019-01-19 03,2.40
2019-01-19 04,2.46
2019-01-19 05,1.69
2019-01-19 06,1.68
2019-01-19 07,4.89
2019-01-19 08,10.59
2019-01-19 09,15.28
2019-01-19 10,21.12
2019-01-19 11,23.69
2019-01-19 12,26.13
2019-01-19 13,27.18
2019-01-19 14,28.01
2019-01-19 15,26.02
2019-01-19 16,26.65
2019-01-19 17,25.93
2019-01-19 18,18.05
2019-01-19 19,15.73
2019-01-19 20,13.25
2019-01-19 21,10.42
2019-01-19 22,8.87
2019-01-19 23,8.32
2019-01-20 00,6.36
2019-01-20 01,5.47
2019-01-20 02,3.24
2019-01-20 03,3.06
2019-01-20 04,2.16
2019-01-20 05,1.75
2019-01-20 06,1.45
2019-01-20 07,3.76
2019-01-20 08,8.07
2019-01-20 09,11.55
2019-01-20 10,20.96
2019-01-20 11,27.87
2019-01-20 12,30.18
2019-01-20 13,33.09
2019-01-20 14,32.14
2019-01-20 15,32.36
2019-01-20 16,31.12
2019-01-20 17,24.09
2019-01-20 18,17.44
2019-01-20 19,14.78
2019-01-20 20,11.55
2019-01-20 21,8.62
2019-01-20 22,6.96
2019-01-20 23,5.34
2019-01-21 00,3.75
2019-01-21 01,1.85
2019-01-21 02,1.12
2019-01-21 03,1.91
2019-01-21 04,2.12
2019-01-21 05,2.62
2019-01-21 06,8.27
2019-01-21 07,29.15
2019-01-21 08,56.95
2019-01-21 09,49.76
2019-01-21 10,23.85
2019-01-21 11,19.81
2019-01-21 12,21.88
2019-01-21 13,23.55
2019-01-21 14,18.82
2019-01-21 15,20.87
2019-01-21 16,29.09
2019-01-21 17,46.60
2019-01-21 18,50.35
2019-01-21 19,34.65
2019-01-21 20,23.46
2019-01-21 21,17.51
2019-01-21 22,9.64
2019-01-21 23,6.21
2019-01-22 00,3.33
2019-01-22 01,1.54
2019-01-22 02,0.29
2019-01-22 03,0.69
2019-01-22 04,1.59
2019-01-22 05,2.24
2019-01-22 06,9.34
2019-01-22 07,30.06
2019-01-22 08,59.01
2019-01-22 09,51.29
2019-01-22 10,24.87
2019-01-22 11,19.19
2019-01-22 12,22.82
2019-01-22 13,22.44
2019-01-22 14,18.61
2019-01-22 15,20.01
2019-01-22 16,21.62
2019-01-22 17,38.71
2019-01-22 18,30.92
2019-01-22 19,21.60
2019-01-22 20,18.62
2019-01-22 21,13.92
2019-01-22 22,10.09
2019-01-22 23,6.44
2019-01-23 00,3.53
2019-01-23 01,2.35
2019-01-23 02,0.80
2019-01-23 03,0.74
2019-01-23 04,1.65
2019-01-23 05,2.80
2019-01-23 06,9.46
2019-01-23 07,28.92
2019-01-23 08,56.71
2019-01-23 09,49.69
2019-01-23 10,23.28
2019-01-23 11,17.09
2019-01-23 12,17.65
2019-01-23 13,21.44
2019-01-23 14,17.84
2019-01-23 15,18.71
2019-01-23 16,27.28
2019-01-23 17,38.92
2019-01-23 18,47.59
2019-01-23 19,32.87
2019-01-23 20,22.25
2019-01-23 21,18.36
2019-01-23 22,11.79
2019-01-23 23,7.11
2019-01-24 00,4.09
2019-01-24 01,3.60
2019-01-24 02,1.99
2019-01-24 03,0.69
2019-01-24 04,1.76
2019-01-24 05,3.16
2019-01-24 06,8.65
2019-01-24 07,28.22
2019-01-24 08,55.26
2019-01-24 09,47.92
2019-01-24 10,21.99
2019-01-24 11,12.82
2019-01-24 12,15.65
2019-01-24 13,18.41
2019-01-24 14,15.62
2019-01-24 15,17.95
2019-01-24 16,25.76
2019-01-24 17,39.59
2019-01-24 18,45.80
2019-01-24 19,30.78
2019-01-24 20,22.47
2019-01-24 21,18.15
2019-01-24 22,13.78
2019-01-24 23,8.67
2019-01-25 00,5.00
2019-01-25 01,3.02
2019-01-25 02,2.04
2019-01-25 03,1.18
2019-01-25 04,1.51
2019-01-25 05,2.08
2019-01-25 06,6.61
2019-01-25 07,19.91
2019-01-25 08,43.48
2019-01-25 09,42.58
2019-01-25 10,23.48
2019-01-25 11,19.24
2019-01-25 12,22.59
2019-01-25 13,25.56
2019-01-25 14,21.94
2019-01-25 15,21.05
2019-01-25 16,30.02
2019-01-25 17,42.13
2019-01-25 18,40.18
2019-01-25 19,27.76
2019-01-25 20,18.80
2019-01-25 21,14.33
2019-01-25 22,11.11
2019-01-25 23,10.73
2019-01-26 00,7.79
2019-01-26 01,5.72
2019-01-26 02,4.56
2019-01-26 03,3.34
2019-01-26 04,2.00
2019-01-26 05,2.18
2019-01-26 06,2.05
2019-01-26 07,4.81
2019-01-26 08,11.42
2019-01-26 09,15.91
2019-01-26 10,21.42
2019-01-26 11,25.42
2019-01-26 12,29.13
2019-01-26 13,29.87
2019-01-26 14,24.35
2019-01-26 15,24.46
2019-01-26 16,24.73
2019-01-26 17,21.89
2019-01-26 18,9.61
2019-01-26 19,7.54
2019-01-26 20,8.55
2019-01-26 21,6.08
