date,count
2020-01-11 05,2.18
2020-01-11 06,1.6
2020-01-11 07,4.85
2020-01-11 08,10.57
2020-01-11 09,18.01
2020-01-11 10,23.49
2020-01-11 11,26.4
2020-01-11 12,28.67
2020-01-11 13,29.25
2020-01-11 14,28.76
2020-01-11 15,27.14
2020-01-11 16,27.5
2020-01-11 17,25.96
2020-01-11 18,20.06
2020-01-11 19,18.07
2020-01-11 20,15.98
2020-01-11 21,12.52
2020-01-11 22,10.55
2020-01-11 23,9.8
2020-01-12 00,8.92
2020-01-12 01,6.35
2020-01-12 02,2.82
2020-01-12 03,2.7
2020-01-12 04,2.76
2020-01-12 05,2.14
2020-01-12 06,1.07
2020-01-12 07,3.39
2020-01-12 08,7.45
2020-01-12 09,13.52
2020-01-12 10,19.45
2020-01-12 11,25
2020-01-12 12,30.94
2020-01-12 13,28.79
2020-01-12 14,28.55
2020-01-12 15,29.44
2020-01-12 16,29.82
2020-01-12 17,24.7
2020-01-12 18,18.08
2020-01-12 19,13.93
2020-01-12 20,11.9
2020-01-12 21,9.67
2020-01-12 22,7.95
2020-01-12 23,5.62
2020-01-13 00,3.75
2020-01-13 01,2.62
2020-01-13 02,1.07
2020-01-13 03,1.19
2020-01-13 04,1.93
2020-01-13 05,2.63
2020-01-13 06,10.18
2020-01-13 07,28.15
2020-01-13 08,59.99
2020-01-13 09,53.18
2020-01-13 10,24.54
2020-01-13 11,19.63
2020-01-13 12,21.93
2020-01-13 13,23.13
2020-01-13 14,18.29
2020-01-13 15,18.38
2020-01-13 16,23.68
2020-01-13 17,42.76
2020-01-13 18,38.88
2020-01-13 19,21.26
2020-01-13 20,16.39
2020-01-13 21,11.05
2020-01-13 22,6.15
2020-01-13 23,4.05
2020-01-14 00,2.7
2020-01-14 01,1.85
2020-01-14 02,0.95
2020-01-14 03,0.61
2020-01-14 04,1.36
2020-01-14 05,2.79
2020-01-14 06,10.93
2020-01-14 07,31.61
2020-01-14 08,62.48
2020-01-14 09,49.1
2020-01-14 10,22.04
2020-01-14 11,14.74
2020-01-14 12,17.05
2020-01-14 13,16.31
2020-01-14 14,14.38
2020-01-14 15,12.99
2020-01-14 16,21.57
2020-01-14 17,39.9
2020-01-14 18,41.52
2020-01-14 19,27.23
2020-01-14 20,19.61
2020-01-14 21,15.44
2020-01-14 22,9.1
2020-01-14 23,4.75
2020-01-15 00,2.92
2020-01-15 01,1.64
2020-01-15 02,0.69
2020-01-15 03,0.89
2020-01-15 04,1.45
2020-01-15 05,2.31
2020-01-15 06,5.77
2020-01-15 07,18.98
2020-01-15 08,36.6
2020-01-15 09,32.04
2020-01-15 10,18.95
2020-01-15 11,15.33
2020-01-15 12,21.36
2020-01-15 13,21.23
2020-01-15 14,19.62
2020-01-15 15,19.79
2020-01-15 16,28.95
2020-01-15 17,44.95
2020-01-15 18,47.79
2020-01-15 19,31.92
2020-01-15 20,22.25
2020-01-15 21,17.52
2020-01-15 22,11.55
2020-01-15 23,7
2020-01-16 00,3.99
2020-01-16 01,2.8
2020-01-16 02,1.51
2020-01-16 03,1.61
2020-01-16 04,1.62
2020-01-16 05,2.95
2020-01-16 06,10.02
2020-01-16 07,28.62
2020-01-16 08,66.05
2020-01-16 09,54.19
2020-01-16 10,27.58
2020-01-16 11,20.93
2020-01-16 12,22.87
2020-01-16 13,23.68
2020-01-16 14,19.15
2020-01-16 15,19.99
2020-01-16 16,27.75
2020-01-16 17,42.54
2020-01-16 18,46.11
2020-01-16 19,23.14
2020-01-16 20,15.3
2020-01-16 21,14.07
2020-01-16 22,7.75
2020-01-16 23,4.76
2020-01-17 00,3.89
2020-01-17 01,2.58
2020-01-17 02,1.17
2020-01-17 03,1.1
2020-01-17 04,1.52
2020-01-17 05,2.8
2020-01-17 06,6.1
2020-01-17 07,24.67
2020-01-17 08,54.04
2020-01-17 09,50.54
2020-01-17 10,24.82
2020-01-17 11,18.92
2020-01-17 12,23.3
2020-01-17 13,24.37
2020-01-17 14,20.88
2020-01-17 15,21.62
2020-01-17 16,30.8
2020-01-17 17,42.81
2020-01-17 18,39.81
2020-01-17 19,27.92
2020-01-17 20,18.61
2020-01-17 21,15
2020-01-17 22,12.98
2020-01-17 23,9.6
2020-01-18 00,8.83
2020-01-18 01,6.15
2020-01-18 02,3.67
2020-01-18 03,2.38
2020-01-18 04,3.06
2020-01-18 05,2.74
2020-01-18 06,1.98
2020-01-18 07,4.49
2020-01-18 08,9.68
2020-01-18 09,16.87
2020-01-18 10,22.56
2020-01-18 11,27.46
2020-01-18 12,30.7
2020-01-18 13,32.23
2020-01-18 14,32.89
2020-01-18 15,32.67
2020-01-18 16,31.87
2020-01-18 17,27.4
2020-01-18 18,22.37
2020-01-18 19,18.05
2020-01-18 20,14.43
2020-01-18 21,12.37
2020-01-18 22,10.51
2020-01-18 23,9.83
2020-01-19 00,8.01
2020-01-19 01,5.82
2020-01-19 02,3.92
2020-01-19 03,2.74
2020-01-19 04,3.21
2020-01-19 05,1.83
2020-01-19 06,1.14
2020-01-19 07,3.25
2020-01-19 08,7.32
2020-01-19 09,13.57
2020-01-19 10,20.64
2020-01-19 11,26.75
2020-01-19 12,31.73
2020-01-19 13,36.64
2020-01-19 14,34.77
2020-01-19 15,34.77
2020-01-19 16,31.45
2020-01-19 17,25.18
2020-01-19 18,19.08
2020-01-19 19,14.68
2020-01-19 20,11.32
2020-01-19 21,9.43
2020-01-19 22,7.5
2020-01-19 23,6.6
2020-01-20 00,3.88
2020-01-20 01,3.23
2020-01-20 02,0.76
2020-01-20 03,1.36
2020-01-20 04,2.68
2020-01-20 05,3.02
2020-01-20 06,9.25
2020-01-20 07,27.89
2020-01-20 08,61.4
2020-01-20 09,52.44
2020-01-20 10,24.87
2020-01-20 11,17.64
2020-01-20 12,21.08
2020-01-20 13,23.1
2020-01-20 14,18.7
2020-01-20 15,20.08
2020-01-20 16,29.83
2020-01-20 17,47.49
2020-01-20 18,50.8
2020-01-20 19,35.42
2020-01-20 20,24.04
2020-01-20 21,19.33
2020-01-20 22,10.27
2020-01-20 23,5.76
2020-01-21 00,2.64
2020-01-21 01,1.92
2020-01-21 02,1.01
2020-01-21 03,0.9
2020-01-21 04,1.51
2020-01-21 05,2.51
2020-01-21 06,10.12
2020-01-21 07,30.45
2020-01-21 08,62.95
2020-01-21 09,53.42
2020-01-21 10,26.52
2020-01-21 11,19.25
2020-01-21 12,22.85
2020-01-21 13,23.87
2020-01-21 14,19.36
2020-01-21 15,20.74
2020-01-21 16,30.13
2020-01-21 17,46.24
2020-01-21 18,51.15
2020-01-21 19,33.4
2020-01-21 20,23.54
2020-01-21 21,17.13
2020-01-21 22,13.46
2020-01-21 23,6.98
2020-01-22 00,3.57
2020-01-22 01,1.96
2020-01-22 02,0.71
2020-01-22 03,0.94
2020-01-22 04,0.93
2020-01-22 05,2.54
2020-01-22 06,9.77
2020-01-22 07,30.08
2020-01-22 08,61.76
2020-01-22 09,52.58
2020-01-22 10,26.17
2020-01-22 11,19.24
2020-01-22 12,20.87
2020-01-22 13,21.92
2020-01-22 14,17.45
2020-01-22 15,18.96
2020-01-22 16,28.74
2020-01-22 17,42.57
2020-01-22 18,48.26
2020-01-22 19,33.2
2020-01-22 20,22.17
2020-01-22 21,18.4
2020-01-22 22,13.62
2020-01-22 23,7.71
2020-01-23 00,4.64
2020-01-23 01,2.46
2020-01-23 02,1.35
2020-01-23 03,0.95
2020-01-23 04,1.38
2020-01-23 05,2.67
2020-01-23 06,9.93
2020-01-23 07,29.86
2020-01-23 08,62.07
2020-01-23 09,53.2
2020-01-23 10,26.02
2020-01-23 11,20.25
2020-01-23 12,21.46
2020-01-23 13,22.79
2020-01-23 14,19.17
2020-01-23 15,21.7
2020-01-23 16,27.1
2020-01-23 17,42.46
2020-01-23 18,49.76
2020-01-23 19,33.05
2020-01-23 20,22.69
2020-01-23 21,17.3
2020-01-23 22,12.9
2020-01-23 23,7.56
2020-01-24 00,4.86
2020-01-24 01,3.35
2020-01-24 02,1.43
2020-01-24 03,1.24
2020-01-24 04,1.55
2020-01-24 05,2.57
2020-01-24 06,8.31
2020-01-24 07,26.35
2020-01-24 08,55.83
2020-01-24 09,49.19
2020-01-24 10,24.39
2020-01-24 11,19.61
2020-01-24 12,23.95
2020-01-24 13,25.18
2020-01-24 14,21.68
2020-01-24 15,22.85
2020-01-24 16,30.55
2020-01-24 17,42.89
2020-01-24 18,42.02
2020-01-24 19,27.2
2020-01-24 20,20.92
2020-01-24 21,14.8
2020-01-24 22,12.32
2020-01-24 23,10.29
2020-01-25 00,7.52
2020-01-25 01,5.55
2020-01-25 02,4.82
2020-01-25 03,2.48
2020-01-25 04,1.61
2020-01-25 05,2.17
2020-01-25 06,2.02
2020-01-25 07,4.46
2020-01-25 08,9.37
2020-01-25 09,16.87
2020-01-25 10,22.23
2020-01-25 11,22.38
2020-01-25 12,27.75
2020-01-25 13,29.32
2020-01-25 14,29.73
2020-01-25 15,28.76
2020-01-25 16,28.62
2020-01-25 17,25.56
2020-01-25 18,20.51
2020-01-25 19,17.7
2020-01-25 20,14.5
2020-01-25 21,10.43
2020-01-25 22,9.05
2020-01-25 23,9.65
2020-01-26 00,8.65
2020-01-26 01,6.44
2020-01-26 02,3.81
2020-01-26 03,2.42
2020-01-26 04,1.71
2020-01-26 05,2.3
2020-01-26 06,1.65
