id,value
Knightsbridge_0,589.5
Knightsbridge_1,813.75
Knightsbridge_2,889.0
Knightsbridge_3,783.6
Knightsbridge_4,797.2
Knightsbridge_5,820.4
Knightsbridge_6,646.75
"Ladbroke Grove_0",102.5
"Ladbroke Grove_1",118.5
"Ladbroke Grove_2",126.75
"Ladbroke Grove_3",115.8
"Ladbroke Grove_4",116.6
"Ladbroke Grove_5",110.2
"Ladbroke Grove_6",122.5
Limehouse_0,161.0
Limehouse_1,169.0
Limehouse_2,165.0
Limehouse_3,168.2
Limehouse_4,176.8
Limehouse_5,171.4
Limehouse_6,168.25
"Liverpool Street_0",328.75
"Liverpool Street_1",851.25
"Liverpool Street_2",907.5
"Liverpool Street_3",708.8
"Liverpool Street_4",826.6
"Liverpool Street_5",800.0
"Liverpool Street_6",322.0
Marylebone_0,764.25
Marylebone_1,1296.75
Marylebone_2,1401.5
Marylebone_3,1239.8
Marylebone_4,1345.4
Marylebone_5,1313.8
Marylebone_6,795.5
Mayfair_0,410.25
Mayfair_1,736.25
Mayfair_2,806.75
Mayfair_3,698.2
Mayfair_4,788.8
Mayfair_5,756.0
Mayfair_6,482.25
"Mile End_0",409.75
"Mile End_1",420.0
"Mile End_2",437.5
"Mile End_3",401.6
"Mile End_4",431.8
"Mile End_5",415.2
"Mile End_6",439.0
Millwall_0,64.0
Millwall_1,59.5
Millwall_2,69.75
Millwall_3,62.0
Millwall_4,74.8
Millwall_5,56.2
Millwall_6,61.0
"Notting Hill_0",258.0
"Notting Hill_1",251.5
"Notting Hill_2",281.75
"Notting Hill_3",240.2
"Notting Hill_4",255.8
"Notting Hill_5",241.0
"Notting Hill_6",315.0
"Old Ford_0",84.75
"Old Ford_1",94.25
"Old Ford_2",91.75
"Old Ford_3",87.8
"Old Ford_4",87.0
"Old Ford_5",97.2
"Old Ford_6",101.0
Olympia_0,128.5
Olympia_1,168.75
Olympia_2,178.0
Olympia_3,160.8
Olympia_4,169.0
Olympia_5,169.4
Olympia_6,137.25
"Olympic Park_0",412.75
"Olympic Park_1",259.5
"Olympic Park_2",303.25
"Olympic Park_3",308.6
"Olympic Park_4",321.8
"Olympic Park_5",352.0
"Olympic Park_6",495.5
Paddington_0,239.5
Paddington_1,459.0
Paddington_2,511.5
Paddington_3,452.4
Paddington_4,473.4
Paddington_5,428.4
Paddington_6,255.5
"Parson's Green_0",163.75
"Parson's Green_1",193.0
"Parson's Green_2",223.5
"Parson's Green_3",185.4
"Parson's Green_4",223.8
"Parson's Green_5",226.6
"Parson's Green_6",205.0
Pimlico_0,511.25
Pimlico_1,602.75
Pimlico_2,688.5
Pimlico_3,632.6
Pimlico_4,633.2
Pimlico_5,645.6
Pimlico_6,530.75
Poplar_0,107.75
Poplar_1,119.25
Poplar_2,126.0
Poplar_3,132.8
Poplar_4,125.2
Poplar_5,127.2
Poplar_6,109.0
Portobello_0,205.25
Portobello_1,234.25
Portobello_2,242.75
Portobello_3,223.2
Portobello_4,223.0
Portobello_5,234.2
Portobello_6,252.25
Putney_0,158.0
Putney_1,142.5
Putney_2,147.25
Putney_3,143.0
Putney_4,155.8
Putney_5,160.8
Putney_6,192.25
"Regent's Park_0",220.25
"Regent's Park_1",224.0
"Regent's Park_2",237.0
"Regent's Park_3",239.6
"Regent's Park_4",239.2
"Regent's Park_5",235.6
"Regent's Park_6",237.0
"Sands End_0",218.75
"Sands End_1",281.5
"Sands End_2",319.75
"Sands End_3",287.4
"Sands End_4",310.8
"Sands End_5",276.6
"Sands End_6",251.5
Shadwell_0,157.75
Shadwell_1,199.25
Shadwell_2,200.25
Shadwell_3,174.4
Shadwell_4,190.2
Shadwell_5,192.2
Shadwell_6,164.25
"Shepherd's Bush_0",203.25
"Shepherd's Bush_1",217.5
"Shepherd's Bush_2",220.25
"Shepherd's Bush_3",222.6
"Shepherd's Bush_4",237.0
"Shepherd's Bush_5",239.6
"Shepherd's Bush_6",243.0
Shoreditch_0,546.75
Shoreditch_1,777.25
Shoreditch_2,835.5
Shoreditch_3,747.0
Shoreditch_4,799.8
Shoreditch_5,746.4
Shoreditch_6,601.5
Soho_0,439.25
Soho_1,664.5
Soho_2,677.0
Soho_3,593.8
Soho_4,697.2
Soho_5,707.2
Soho_6,511.25
"South Bank_0",320.25
"South Bank_1",743.75
"South Bank_2",760.25
"South Bank_3",631.8
"South Bank_4",686.0
"South Bank_5",678.6
"South Bank_6",376.0
"South Kensington_0",486.75
"South Kensington_1",564.75
"South Kensington_2",567.0
"South Kensington_3",551.4
"South Kensington_4",575.2
"South Kensington_5",570.0
"South Kensington_6",533.75
Southwark_0,73.0
Southwark_1,169.0
Southwark_2,173.75
Southwark_3,155.0
Southwark_4,194.2
Southwark_5,159.0
Southwark_6,93.75
"St John's Wood_0",319.25
"St John's Wood_1",345.75
"St John's Wood_2",401.5
"St John's Wood_3",377.0
"St John's Wood_4",369.0
"St John's Wood_5",396.4
"St John's Wood_6",324.0
"St Luke's_0",190.5
"St Luke's_1",348.75
"St Luke's_2",378.5
"St Luke's_3",303.8
"St Luke's_4",359.8
"St Luke's_5",336.2
"St Luke's_6",222.5
"St Paul's_0",164.0
"St Paul's_1",616.25
"St Paul's_2",611.75
"St Paul's_3",493.8
"St Paul's_4",590.6
"St Paul's_5",562.0
"St Paul's_6",167.0
Stepney_0,369.5
Stepney_1,436.25
Stepney_2,449.25
Stepney_3,406.6
Stepney_4,452.4
Stepney_5,399.8
Stepney_6,401.5
Stockwell_0,332.5
Stockwell_1,423.5
Stockwell_2,450.25
Stockwell_3,425.2
Stockwell_4,449.8
Stockwell_5,436.4
Stockwell_6,388.25
Strand_0,524.5
Strand_1,790.25
Strand_2,865.5
Strand_3,792.6
Strand_4,840.4
Strand_5,783.6
Strand_6,649.0
Vauxhall_0,551.25
Vauxhall_1,783.5
Vauxhall_2,841.0
Vauxhall_3,763.8
Vauxhall_4,768.8
Vauxhall_5,763.0
Vauxhall_6,626.25
"Victoria Park_0",247.25
"Victoria Park_1",198.75
"Victoria Park_2",189.5
"Victoria Park_3",216.0
"Victoria Park_4",213.8
"Victoria Park_5",204.4
"Victoria Park_6",247.0
Victoria_0,304.75
Victoria_1,510.25
Victoria_2,578.25
Victoria_3,480.6
Victoria_4,513.6
Victoria_5,494.6
Victoria_6,367.0
"Walham Green_0",193.25
"Walham Green_1",198.25
"Walham Green_2",235.5
"Walham Green_3",185.4
"Walham Green_4",214.8
"Walham Green_5",208.0
"Walham Green_6",222.0
Walworth_0,159.0
Walworth_1,182.25
Walworth_2,189.25
Walworth_3,202.4
Walworth_4,189.8
Walworth_5,200.0
Walworth_6,153.75
"Wandsworth Road_0",125.75
"Wandsworth Road_1",149.75
"Wandsworth Road_2",172.0
"Wandsworth Road_3",173.0
"Wandsworth Road_4",153.8
"Wandsworth Road_5",143.6
"Wandsworth Road_6",119.5
Wandsworth_0,319.75
Wandsworth_1,324.5
Wandsworth_2,350.0
Wandsworth_3,326.8
Wandsworth_4,332.2
Wandsworth_5,349.4
Wandsworth_6,360.0
Wapping_0,282.25
Wapping_1,365.5
Wapping_2,376.5
Wapping_3,343.4
Wapping_4,365.0
Wapping_5,356.8
Wapping_6,330.5
Waterloo_0,284.25
Waterloo_1,1072.75
Waterloo_2,1061.25
Waterloo_3,896.2
Waterloo_4,1048.2
Waterloo_5,1096.2
Waterloo_6,352.75
"West Chelsea_0",266.25
"West Chelsea_1",304.25
"West Chelsea_2",348.25
"West Chelsea_3",322.6
"West Chelsea_4",317.2
"West Chelsea_5",318.2
"West Chelsea_6",321.25
"West End_0",308.0
"West End_1",424.25
"West End_2",440.5
"West End_3",454.8
"West End_4",423.0
"West End_5",439.0
"West End_6",348.5
"West Kensington_0",251.0
"West Kensington_1",270.75
"West Kensington_2",280.75
"West Kensington_3",263.0
"West Kensington_4",289.2
"West Kensington_5",269.6
"West Kensington_6",306.25
Westminster_0,490.5
Westminster_1,1108.0
Westminster_2,1157.25
Westminster_3,1013.0
Westminster_4,1100.0
Westminster_5,1034.4
Westminster_6,519.25
Whitechapel_0,405.0
Whitechapel_1,484.75
Whitechapel_2,499.0
Whitechapel_3,436.8
Whitechapel_4,496.2
Whitechapel_5,463.0
Whitechapel_6,442.75
