date,avg(count)
2020-01-11T06,10.525
2020-01-11T07,20.875
2020-01-11T08,39.9
2020-01-11T09,33.625
2020-01-11T10,27.95
2020-01-11T11,19.625
2020-01-11T12,31.825
2020-01-11T13,24.5
2020-01-11T14,19.25
2020-01-11T15,29.875
2020-01-11T16,23.9
2020-01-11T17,25.325
2020-01-11T18,35.825
2020-01-11T19,27.725
2020-01-11T20,43.675
2020-01-11T21,71.5
2020-01-11T22,35.75
2020-01-11T23,11.275
2020-01-12T00,14.675
2020-01-12T01,19.975
2020-01-12T02,21.3
2020-01-12T03,26.05
2020-01-12T04,6.25
2020-01-12T05,6.05
2020-01-12T06,6.2
2020-01-12T07,5.3
2020-01-12T08,21.55
2020-01-12T09,30.075
2020-01-12T10,30.5
2020-01-12T11,25.775
2020-01-12T12,32.675
2020-01-12T13,16.375
2020-01-12T14,19.075
2020-01-12T15,22.15
2020-01-12T16,24.6
2020-01-12T17,21.925
2020-01-12T18,18.475
2020-01-12T19,24.075
2020-01-12T20,48.475
2020-01-12T21,46.55
2020-01-12T22,15.625
2020-01-12T23,18.075
2020-01-13T00,30.95
2020-01-13T01,15
2020-01-13T02,4.35
2020-01-13T03,2.6
2020-01-13T04,2.05
2020-01-13T05,11.775
2020-01-13T06,33.625
2020-01-13T07,127.125
2020-01-13T08,322.875
2020-01-13T09,79.075
2020-01-13T10,307.05
2020-01-13T11,55.45
2020-01-13T12,27.2
2020-01-13T13,14.675
2020-01-13T14,18.4
2020-01-13T15,15.925
2020-01-13T16,44.775
2020-01-13T17,115.5
2020-01-13T18,145.05
2020-01-13T19,46.325
2020-01-13T20,197.5
2020-01-13T21,111.475
2020-01-13T22,25.25
2020-01-13T23,29.125
2020-01-14T00,36.9
2020-01-14T01,18.85
2020-01-14T02,5.525
2020-01-14T03,3.1
2020-01-14T04,2.2
2020-01-14T05,12.15
2020-01-14T06,33.3
2020-01-14T07,120.4
2020-01-14T08,306.375
2020-01-14T09,78.2
2020-01-14T10,277.375
2020-01-14T11,53.65
2020-01-14T12,39.35
2020-01-14T13,16.1
2020-01-14T14,19.3
2020-01-14T15,21.075
2020-01-14T16,50.575
2020-01-14T17,101.55
2020-01-14T18,125.3
2020-01-14T19,37.05
2020-01-14T20,183.725
2020-01-14T21,103.075
2020-01-14T22,19.7
2020-01-14T23,26.375
2020-01-15T00,43.45
2020-01-15T01,26.95
2020-01-15T02,8.35
2020-01-15T03,3.775
2020-01-15T04,2.85
2020-01-15T05,10.45
2020-01-15T06,29
2020-01-15T07,114.775
2020-01-15T08,274.375
2020-01-15T09,71.55
2020-01-15T10,266.575
2020-01-15T11,43.725
2020-01-15T12,38
2020-01-15T13,16.8
2020-01-15T14,24.175
2020-01-15T15,19.75
2020-01-15T16,40.85
2020-01-15T17,79.05
2020-01-15T18,101.675
2020-01-15T19,31.05
2020-01-15T20,157.475
2020-01-15T21,95.8
2020-01-15T22,22.9
2020-01-15T23,19.075
2020-01-16T00,47.2
2020-01-16T01,30.275
2020-01-16T02,9.7
2020-01-16T03,4.025
2020-01-16T04,2.3
2020-01-16T05,9.975
2020-01-16T06,30.425
2020-01-16T07,106.95
2020-01-16T08,288.2
2020-01-16T09,66.725
2020-01-16T10,250.625
2020-01-16T11,42.55
2020-01-16T12,36.575
2020-01-16T13,21.65
2020-01-16T14,23.4
2020-01-16T15,23.35
2020-01-16T16,38.525
2020-01-16T17,100.85
2020-01-16T18,126.475
2020-01-16T19,59.425
2020-01-16T20,155.3
2020-01-16T21,99.575
2020-01-16T22,22.1
2020-01-16T23,16.7
2020-01-17T00,45.675
2020-01-17T01,35.45
2020-01-17T02,14.8
2020-01-17T03,5.975
2020-01-17T04,2.975
2020-01-17T05,6.4
2020-01-17T06,20.175
2020-01-17T07,90.7
2020-01-17T08,231.75
2020-01-17T09,63.075
2020-01-17T10,212.9
2020-01-17T11,35.975
2020-01-17T12,36.725
2020-01-17T13,16.175
2020-01-17T14,14.375
2020-01-17T15,16.775
2020-01-17T16,36.95
2020-01-17T17,96.45
2020-01-17T18,37.625
2020-01-17T19,36.6
2020-01-17T20,102.025
