id,value
Maison-Blanche_0,1133
Maison-Blanche_1,1311
Maison-Blanche_2,1502
Maison-Blanche_3,1539
Maison-Blanche_4,1494
Maison-Blanche_5,1573
Maison-Blanche_6,1424
Monnaie_0,551
Monnaie_1,676
Monnaie_2,748
Monnaie_3,749
Monnaie_4,740
Monnaie_5,822
Monnaie_6,813
Montparnasse_0,890
Montparnasse_1,993
Montparnasse_2,1104
Montparnasse_3,1116
Montparnasse_4,1116
Montparnasse_5,1210
Montparnasse_6,1124
Muette_0,603
Muette_1,828
Muette_2,949
Muette_3,956
Muette_4,915
Muette_5,968
Muette_6,799
Necker_0,1723
Necker_1,2144
Necker_2,2400
Necker_3,2414
Necker_4,2354
Necker_5,2588
Necker_6,2184
Notre-Dame-des-Champs_0,986
Notre-Dame-des-Champs_1,1395
Notre-Dame-des-Champs_2,1579
Notre-Dame-des-Champs_3,1542
Notre-Dame-des-Champs_4,1469
Notre-Dame-des-Champs_5,1621
Notre-Dame-des-Champs_6,1443
Notre-Dame_0,242
Notre-Dame_1,280
Notre-Dame_2,314
Notre-Dame_3,311
Notre-Dame_4,277
Notre-Dame_5,335
Notre-Dame_6,304
Odéon_0,615
Odéon_1,791
Odéon_2,863
Odéon_3,868
Odéon_4,848
Odéon_5,911
Odéon_6,847
Palais-Royal_0,556
Palais-Royal_1,719
Palais-Royal_2,735
Palais-Royal_3,798
Palais-Royal_4,709
Palais-Royal_5,791
Palais-Royal_6,653
Parc-de-Montsouris_0,658
Parc-de-Montsouris_1,745
Parc-de-Montsouris_2,854
Parc-de-Montsouris_3,859
Parc-de-Montsouris_4,857
Parc-de-Montsouris_5,829
Parc-de-Montsouris_6,767
Petit-Montrouge_0,1087
Petit-Montrouge_1,1207
Petit-Montrouge_2,1344
Petit-Montrouge_3,1406
Petit-Montrouge_4,1362
Petit-Montrouge_5,1413
Petit-Montrouge_6,1360
Picpus_0,1953
Picpus_1,1970
Picpus_2,2198
Picpus_3,2251
Picpus_4,2141
Picpus_5,2389
Picpus_6,2298
Place-Vendôme_0,348
Place-Vendôme_1,434
Place-Vendôme_2,464
Place-Vendôme_3,463
Place-Vendôme_4,443
Place-Vendôme_5,461
Place-Vendôme_6,416
Plaine de Monceaux_0,854
Plaine de Monceaux_1,1215
Plaine de Monceaux_2,1356
Plaine de Monceaux_3,1393
Plaine de Monceaux_4,1313
Plaine de Monceaux_5,1396
Plaine de Monceaux_6,1167
Plaisance_0,1414
Plaisance_1,1652
Plaisance_2,1902
Plaisance_3,1939
Plaisance_4,1865
Plaisance_5,1993
Plaisance_6,1721
Pont-de-Flandre_0,1109
Pont-de-Flandre_1,1194
Pont-de-Flandre_2,1306
Pont-de-Flandre_3,1345
Pont-de-Flandre_4,1281
Pont-de-Flandre_5,1435
Pont-de-Flandre_6,1367
Porte-Dauphine_0,623
Porte-Dauphine_1,866
Porte-Dauphine_2,967
Porte-Dauphine_3,1019
Porte-Dauphine_4,953
Porte-Dauphine_5,1031
Porte-Dauphine_6,824
Porte-Saint-Denis_0,1052
Porte-Saint-Denis_1,1206
Porte-Saint-Denis_2,1313
Porte-Saint-Denis_3,1371
Porte-Saint-Denis_4,1320
Porte-Saint-Denis_5,1454
Porte-Saint-Denis_6,1328
Porte-Saint-Martin_0,1126
Porte-Saint-Martin_1,1177
Porte-Saint-Martin_2,1334
Porte-Saint-Martin_3,1366
Porte-Saint-Martin_4,1330
Porte-Saint-Martin_5,1480
Porte-Saint-Martin_6,1490
Père-Lachaise_0,1142
Père-Lachaise_1,1085
Père-Lachaise_2,1076
Père-Lachaise_3,1143
Père-Lachaise_4,1119
Père-Lachaise_5,1258
Père-Lachaise_6,1296
Quinze-Vingts_0,1781
Quinze-Vingts_1,1927
Quinze-Vingts_2,2026
Quinze-Vingts_3,2119
Quinze-Vingts_4,2055
Quinze-Vingts_5,2327
Quinze-Vingts_6,2082
Rochechouart_0,836
Rochechouart_1,990
Rochechouart_2,1130
Rochechouart_3,1146
Rochechouart_4,1118
Rochechouart_5,1244
Rochechouart_6,1154
Roquette_0,1841
Roquette_1,1845
Roquette_2,1993
Roquette_3,2044
Roquette_4,1999
Roquette_5,2242
Roquette_6,2225
Saint-Ambroise_0,1431
Saint-Ambroise_1,1515
Saint-Ambroise_2,1689
Saint-Ambroise_3,1725
Saint-Ambroise_4,1664
Saint-Ambroise_5,1903
Saint-Ambroise_6,1915
Saint-Fargeau_0,703
Saint-Fargeau_1,782
Saint-Fargeau_2,722
Saint-Fargeau_3,759
Saint-Fargeau_4,722
Saint-Fargeau_5,824
Saint-Fargeau_6,776
Saint-Georges_0,694
Saint-Georges_1,880
Saint-Georges_2,1010
Saint-Georges_3,1023
Saint-Georges_4,1019
Saint-Georges_5,1071
Saint-Georges_6,925
Saint-Germain-des-Prés_0,376
Saint-Germain-des-Prés_1,569
Saint-Germain-des-Prés_2,628
Saint-Germain-des-Prés_3,635
Saint-Germain-des-Prés_4,597
Saint-Germain-des-Prés_5,671
Saint-Germain-des-Prés_6,572
Saint-Germain-l'Auxerrois_0,182
Saint-Germain-l'Auxerrois_1,194
Saint-Germain-l'Auxerrois_2,215
Saint-Germain-l'Auxerrois_3,234
Saint-Germain-l'Auxerrois_4,224
Saint-Germain-l'Auxerrois_5,238
Saint-Germain-l'Auxerrois_6,230
Saint-Gervais_0,777
Saint-Gervais_1,784
Saint-Gervais_2,854
Saint-Gervais_3,884
Saint-Gervais_4,852
Saint-Gervais_5,953
Saint-Gervais_6,1012
Saint-Lambert_0,1908
Saint-Lambert_1,2202
Saint-Lambert_2,2561
Saint-Lambert_3,2601
Saint-Lambert_4,2477
Saint-Lambert_5,2604
Saint-Lambert_6,2327
Saint-Merri_0,1098
Saint-Merri_1,1154
Saint-Merri_2,1154
Saint-Merri_3,1254
Saint-Merri_4,1195
Saint-Merri_5,1334
Saint-Merri_6,1458
Saint-Thomas-d'Aquin_0,605
Saint-Thomas-d'Aquin_1,798
Saint-Thomas-d'Aquin_2,897
Saint-Thomas-d'Aquin_3,929
Saint-Thomas-d'Aquin_4,883
Saint-Thomas-d'Aquin_5,947
Saint-Thomas-d'Aquin_6,802
Saint-Victor_0,914
Saint-Victor_1,1181
Saint-Victor_2,1299
Saint-Victor_3,1345
Saint-Victor_4,1246
Saint-Victor_5,1403
Saint-Victor_6,1209
Saint-Vincent-de-Paul_0,1516
Saint-Vincent-de-Paul_1,1772
Saint-Vincent-de-Paul_2,2019
Saint-Vincent-de-Paul_3,2063
Saint-Vincent-de-Paul_4,2004
Saint-Vincent-de-Paul_5,2261
Saint-Vincent-de-Paul_6,1943
Sainte-Avoie_0,408
Sainte-Avoie_1,454
Sainte-Avoie_2,468
Sainte-Avoie_3,505
Sainte-Avoie_4,503
Sainte-Avoie_5,540
Sainte-Avoie_6,532
Sainte-Marguerite_0,1831
Sainte-Marguerite_1,1906
Sainte-Marguerite_2,2053
Sainte-Marguerite_3,2098
Sainte-Marguerite_4,1979
Sainte-Marguerite_5,2256
Sainte-Marguerite_6,2265
Salpêtrière_0,853
Salpêtrière_1,1335
Salpêtrière_2,1475
Salpêtrière_3,1485
Salpêtrière_4,1293
Salpêtrière_5,1552
Salpêtrière_6,1110
Sorbonne_0,923
Sorbonne_1,1368
Sorbonne_2,1474
Sorbonne_3,1540
Sorbonne_4,1408
Sorbonne_5,1580
Sorbonne_6,1518
Ternes_0,746
Ternes_1,1027
Ternes_2,1167
Ternes_3,1217
Ternes_4,1135
Ternes_5,1209
Ternes_6,934
Val-de-Grâce_0,475
Val-de-Grâce_1,729
Val-de-Grâce_2,795
Val-de-Grâce_3,804
Val-de-Grâce_4,805
Val-de-Grâce_5,837
Val-de-Grâce_6,693
Villette_0,1451
Villette_1,1337
Villette_2,1544
Villette_3,1593
Villette_4,1575
Villette_5,1664
Villette_6,1730
Vivienne_0,275
Vivienne_1,567
Vivienne_2,630
Vivienne_3,628
Vivienne_4,571
Vivienne_5,638
Vivienne_6,411
