id,value
Maison-Blanche_1,1363
Maison-Blanche_2,1468
Maison-Blanche_3,1470
Maison-Blanche_4,1444
Maison-Blanche_5,1480
Maison-Blanche_6,1418
Monnaie_0,522
Monnaie_1,595
Monnaie_2,644
Monnaie_3,656
Monnaie_4,642
Monnaie_5,684
Monnaie_6,682
Montparnasse_0,902
Montparnasse_1,1027
Montparnasse_2,1097
Montparnasse_3,1093
Montparnasse_4,1102
Montparnasse_5,1149
Montparnasse_6,1068
Muette_0,794
Muette_1,910
Muette_2,962
Muette_3,970
Muette_4,933
Muette_5,934
Muette_6,918
Necker_0,1827
Necker_1,2123
Necker_2,2302
Necker_3,2308
Necker_4,2277
Necker_5,2374
Necker_6,2106
Notre-Dame-des-Champs_0,945
Notre-Dame-des-Champs_1,1233
Notre-Dame-des-Champs_2,1358
Notre-Dame-des-Champs_3,1323
Notre-Dame-des-Champs_4,1283
Notre-Dame-des-Champs_5,1379
Notre-Dame-des-Champs_6,1298
Notre-Dame_0,287
Notre-Dame_1,289
Notre-Dame_2,314
Notre-Dame_3,324
Notre-Dame_4,310
Notre-Dame_5,325
Notre-Dame_6,313
Odéon_0,614
Odéon_1,704
Odéon_2,760
Odéon_3,750
Odéon_4,724
Odéon_5,763
Odéon_6,738
Palais-Royal_0,509
Palais-Royal_1,593
Palais-Royal_2,616
Palais-Royal_3,626
Palais-Royal_4,595
Palais-Royal_5,636
Palais-Royal_6,596
Parc-de-Montsouris_0,731
Parc-de-Montsouris_1,779
Parc-de-Montsouris_2,846
Parc-de-Montsouris_3,834
Parc-de-Montsouris_4,824
Parc-de-Montsouris_5,811
Parc-de-Montsouris_6,783
Petit-Montrouge_0,1204
Petit-Montrouge_1,1270
Petit-Montrouge_2,1350
Petit-Montrouge_3,1372
Petit-Montrouge_4,1367
Petit-Montrouge_5,1387
Petit-Montrouge_6,1375
Picpus_0,2317
Picpus_1,2247
Picpus_2,2403
Picpus_3,2389
Picpus_4,2341
Picpus_5,2450
Picpus_6,2549
Place-Vendôme_0,343
Place-Vendôme_1,389
Place-Vendôme_2,410
Place-Vendôme_3,414
Place-Vendôme_4,397
Place-Vendôme_5,404
Place-Vendôme_6,391
Plaine de Monceaux_0,959
Plaine de Monceaux_1,1192
Plaine de Monceaux_2,1316
Plaine de Monceaux_3,1304
Plaine de Monceaux_4,1253
Plaine de Monceaux_5,1273
Plaine de Monceaux_6,1126
Plaisance_0,1485
Plaisance_1,1664
Plaisance_2,1772
Plaisance_3,1771
Plaisance_4,1748
Plaisance_5,1815
