date,station,id,count
2020-01-01,Amérique,Amérique_3,1056
2020-01-01,Archives,Archives_3,252
2020-01-01,Arsenal,Arsenal_3,480
2020-01-01,Arts-et-Métiers,Arts-et-Métiers_3,417
2020-01-01,Auteuil,Auteuil_3,1192
2020-01-01,Batignolles,Batignolles_3,919
2020-01-01,Bel-Air,Bel-Air_3,955
2020-01-01,Belleville,Belleville_3,700
2020-01-01,Bercy,Bercy_3,674
2020-01-01,Bonne-Nouvelle,Bonne-Nouvelle_3,393
2020-01-01,Chaillot,Chaillot_3,253
2020-01-01,Champs-Elysées,Champs-Elysées_3,763
2020-01-01,Charonne,Charonne_3,1767
2020-01-01,Chaussée-d'Antin,Chaussée-d'Antin_3,524
2020-01-01,Clignancourt,Clignancourt_3,1937
2020-01-01,Combat,Combat_3,1388
2020-01-01,Croulebarbe,Croulebarbe_3,575
2020-01-01,Ecole-Militaire,Ecole-Militaire_3,343
2020-01-01,Enfants-Rouges,Enfants-Rouges_3,413
2020-01-01,Epinettes,Epinettes_3,1205
2020-01-01,Europe,Europe_3,1046
2020-01-01,Faubourg-Montmartre,Faubourg-Montmartre_3,652
2020-01-01,Faubourg-du-Roule,Faubourg-du-Roule_3,767
2020-01-01,Folie-Méricourt,Folie-Méricourt_3,1713
2020-01-01,Gaillon,Gaillon_3,218
2020-01-01,Gare,Gare_3,1722
2020-01-01,Goutte-d'Or,Goutte-d'Or_3,635
2020-01-01,Grandes-Carrières,Grandes-Carrières_3,1647
2020-01-01,Grenelle,Grenelle_3,1746
2020-01-01,Gros-Caillou,Gros-Caillou_3,975
2020-01-01,Halles,Halles_3,1343
2020-01-01,Hôpital-Saint-Louis,Hôpital-Saint-Louis_3,1230
2020-01-01,Invalides,Invalides_3,478
2020-01-01,Jardin-des-Plantes,Jardin-des-Plantes_3,857
2020-01-01,Javel,Javel_3,1447
2020-01-01,La Chapelle,La Chapelle_3,764
2020-01-01,Madeleine,Madeleine_3,582
2020-01-01,Mail,Mail_3,478
2020-01-01,Maison-Blanche,Maison-Blanche_3,1119
2020-01-01,Monnaie,Monnaie_3,511
2020-01-01,Montparnasse,Montparnasse_3,812
2020-01-01,Muette,Muette_3,759
2020-01-01,Necker,Necker_3,1777
2020-01-01,Notre-Dame,Notre-Dame_3,262
2020-01-01,Notre-Dame-des-Champs,Notre-Dame-des-Champs_3,812
