date,notes
2020-03-05,Ban on large gatherings
2020-03-14,Cafés close
2020-03-17,First lockdown
2020-04-12,Easter
2020-05-12,First lockdown ends
2020-06-02,Cafés reopen
2020-07-01,Borders open
2020-07-14,Bastille data
2020-10-05,Cafés close
2020-10-14,10 pm curfew
2020-10-30,Second lockdown
2020-12-15,Second lockdown ends, 8pm curfew
2020-12-25,Christmas
