date,notes
2020-03-01,Beginn Fasnacht (abgesagt)
2020-03-04,Ende Fasnacht (abgesagt)
2020-03-16,"Lockdown"
2020-04-12,Ostern
2020-04-14,Kalte Temperaturen
2020-04-28,Regentag
